#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2022 08 01 00 00 282  4.7  5.5 99.00 99.00 99.00 999 1016.6 999.0  14.5 999.0 99.0 99.00 
2022 08 01 00 10 283  4.6  5.8 99.00 99.00 99.00 999 1016.5 999.0  14.5 999.0 99.0 99.00 
2022 08 01 00 20 289  4.1  4.9 99.00 99.00 99.00 999 1016.5 999.0  14.6 999.0 99.0 99.00 
2022 08 01 00 30 289  3.6  4.6 99.00 99.00 99.00 999 1016.6 999.0  14.6 999.0 99.0 99.00 
2022 08 01 00 40 289  3.2  3.9  0.71 16.00  5.80 134 1016.6 999.0  14.6 999.0 99.0 99.00 
2022 08 01 00 50 287  3.5  4.2 99.00 99.00 99.00 999 1016.5 999.0  14.7 999.0 99.0 99.00 
2022 08 01 01 00 299  3.2  4.3 99.00 99.00 99.00 999 1016.4 999.0  14.8 999.0 99.0 99.00 
2022 08 01 01 10 297  3.7  4.5 99.00 99.00 99.00 999 1016.3 999.0  14.8 999.0 99.0 99.00 
2022 08 01 01 20 298  3.9  4.8 99.00 99.00 99.00 999 1016.4 999.0  14.8 999.0 99.0 99.00 
2022 08 01 01 30 299  3.8  4.5 99.00 99.00 99.00 999 1016.2 999.0  14.7 999.0 99.0 99.00 
2022 08 01 01 40 298  3.6  4.7  0.68 14.81  5.87 220 1016.1 999.0  14.7 999.0 99.0 99.00 
2022 08 01 01 50 300  3.6  4.3 99.00 99.00 99.00 999 1016.2 999.0  14.7 999.0 99.0 99.00 
2022 08 01 02 00 303  3.7  4.6 99.00 99.00 99.00 999 1016.2 999.0  14.7 999.0 99.0 99.00 
2022 08 01 02 10 297  3.8  4.5 99.00 99.00 99.00 999 1016.3 999.0  14.7 999.0 99.0 99.00 
2022 08 01 02 20 297  4.0  4.8 99.00 99.00 99.00 999 1016.4 999.0  14.7 999.0 99.0 99.00 
2022 08 01 02 30 296  4.1  5.5 99.00 99.00 99.00 999 1016.4 999.0  14.7 999.0 99.0 99.00 
2022 08 01 02 40 294  4.5  6.0  0.66 16.00  5.98 249 1016.3 999.0  14.8 999.0 99.0 99.00 
2022 08 01 02 50 294  4.3  5.4 99.00 99.00 99.00 999 1016.4 999.0  14.8 999.0 99.0 99.00 
2022 08 01 03 00 298  4.2  5.6 99.00 99.00 99.00 999 1016.4 999.0  14.7 999.0 99.0 99.00 
2022 08 01 03 10 299  4.5  5.7 99.00 99.00 99.00 999 1016.3 999.0  14.7 999.0 99.0 99.00 
2022 08 01 03 20 308  4.5  5.5 99.00 99.00 99.00 999 1016.2 999.0  14.7 999.0 99.0 99.00 
2022 08 01 03 30 312  4.6  6.4 99.00 99.00 99.00 999 1016.3 999.0  14.7 999.0 99.0 99.00 
2022 08 01 03 40 308  4.4  5.5  0.80 16.00  7.22 203 1016.4 999.0  14.6 999.0 99.0 99.00 
2022 08 01 03 50 305  4.5  5.3 99.00 99.00 99.00 999 1016.4 999.0  14.6 999.0 99.0 99.00 
2022 08 01 04 00 306  4.5  5.8 99.00 99.00 99.00 999 1016.5 999.0  14.6 999.0 99.0 99.00 
2022 08 01 04 10 309  4.0  4.9 99.00 99.00 99.00 999 1016.5 999.0  14.6 999.0 99.0 99.00 
2022 08 01 04 20 310  3.7  4.6 99.00 99.00 99.00 999 1016.6 999.0  14.6 999.0 99.0 99.00 
2022 08 01 04 30 302  3.2  4.4 99.00 99.00 99.00 999 1016.6 999.0  14.5 999.0 99.0 99.00 
2022 08 01 04 40 299  3.0  3.9  0.66 14.81  5.79 224 1016.8 999.0  14.5 999.0 99.0 99.00 
2022 08 01 04 50 296  2.7  3.4 99.00 99.00 99.00 999 1016.9 999.0  14.6 999.0 99.0 99.00 
2022 08 01 05 00 292  2.5  3.1 99.00 99.00 99.00 999 1017.0 999.0  14.6 999.0 99.0 99.00 
2022 08 01 05 10 293  2.6  3.1 99.00 99.00 99.00 999 1017.0 999.0  14.5 999.0 99.0 99.00 
2022 08 01 05 20 279  2.8  3.4 99.00 99.00 99.00 999 1017.0 999.0  14.5 999.0 99.0 99.00 
2022 08 01 05 30 279  2.9  3.5 99.00 99.00 99.00 999 1017.0 999.0  14.5 999.0 99.0 99.00 
2022 08 01 05 40 278  2.4  3.0  0.74 16.00  6.40 233 1017.1 999.0  14.5 999.0 99.0 99.00 
2022 08 01 05 50 279  2.6  3.3 99.00 99.00 99.00 999 1017.2 999.0  14.5 999.0 99.0 99.00 
2022 08 01 06 00 280  2.8  3.8 99.00 99.00 99.00 999 1017.1 999.0  14.5 999.0 99.0 99.00 
2022 08 01 06 10 283  3.0  3.7 99.00 99.00 99.00 999 1017.1 999.0  14.5 999.0 99.0 99.00 
2022 08 01 06 20 286  3.1  3.8 99.00 99.00 99.00 999 1017.1 999.0  14.5 999.0 99.0 99.00 
2022 08 01 06 30 293  3.0  3.7 99.00 99.00 99.00 999 1017.0 999.0  14.5 999.0 99.0 99.00 
2022 08 01 06 40 298  3.1  3.8  0.81 16.00  7.05 210 1017.0 999.0  14.5 999.0 99.0 99.00 
2022 08 01 06 50 297  2.5  3.2 99.00 99.00 99.00 999 1017.2 999.0  14.5 999.0 99.0 99.00 
2022 08 01 07 00 293  2.5  3.2 99.00 99.00 99.00 999 1017.3 999.0  14.5 999.0 99.0 99.00 
2022 08 01 07 10 291  2.7  3.3 99.00 99.00 99.00 999 1017.3 999.0  14.5 999.0 99.0 99.00 
2022 08 01 07 20 291  2.8  3.7 99.00 99.00 99.00 999 1017.2 999.0  14.5 999.0 99.0 99.00 
2022 08 01 07 30 289  2.9  3.7 99.00 99.00 99.00 999 1017.2 999.0  14.5 999.0 99.0 99.00 
2022 08 01 07 40 298  2.8  3.5  0.76 16.00  6.79 203 1017.0 999.0  14.5 999.0 99.0 99.00 
2022 08 01 07 50 297  3.1  4.0 99.00 99.00 99.00 999 1016.9 999.0  14.5 999.0 99.0 99.00 
2022 08 01 08 00 293  3.8  4.4 99.00 99.00 99.00 999 1016.7 999.0  14.4 999.0 99.0 99.00 
2022 08 01 08 10 299  3.9  4.8 99.00 99.00 99.00 999 1016.5 999.0  14.4 999.0 99.0 99.00 
2022 08 01 08 20 303  3.3  4.8 99.00 99.00 99.00 999 1016.7 999.0  14.4 999.0 99.0 99.00 
2022 08 01 08 30 311  3.5  4.3 99.00 99.00 99.00 999 1016.7 999.0  14.4 999.0 99.0 99.00 
2022 08 01 08 40 309  3.6  4.3  0.63 17.39  6.06 222 1016.8 999.0  14.4 999.0 99.0 99.00 
2022 08 01 08 50 302  3.5  4.2 99.00 99.00 99.00 999 1016.9 999.0  14.4 999.0 99.0 99.00 
2022 08 01 09 00 300  3.2  3.8 99.00 99.00 99.00 999 1017.0 999.0  14.4 999.0 99.0 99.00 
2022 08 01 09 10 300  3.6  5.0 99.00 99.00 99.00 999 1016.9 999.0  14.4 999.0 99.0 99.00 
2022 08 01 09 20 314  4.2  5.1 99.00 99.00 99.00 999 1016.9 999.0  14.4 999.0 99.0 99.00 
2022 08 01 09 30 311  4.3  5.3 99.00 99.00 99.00 999 1016.8 999.0  14.3 999.0 99.0 99.00 
2022 08 01 09 40 315  4.7  5.6  0.68 16.00  6.43 196 1016.8 999.0  14.3 999.0 99.0 99.00 
2022 08 01 09 50 309  4.8  5.8 99.00 99.00 99.00 999 1016.7 999.0  14.3 999.0 99.0 99.00 
2022 08 01 10 00 316  4.3  5.5 99.00 99.00 99.00 999 1016.9 999.0  14.3 999.0 99.0 99.00 
2022 08 01 10 10 317  4.4  5.4 99.00 99.00 99.00 999 1016.8 999.0  14.3 999.0 99.0 99.00 
2022 08 01 10 20 308  4.4  5.4 99.00 99.00 99.00 999 1016.8 999.0  14.3 999.0 99.0 99.00 
2022 08 01 10 30 306  3.9  4.7 99.00 99.00 99.00 999 1016.8 999.0  14.3 999.0 99.0 99.00 
2022 08 01 10 40 309  4.2  5.1  0.70 16.00  6.14 214 1016.9 999.0  14.3 999.0 99.0 99.00 
2022 08 01 10 50 312  3.4  4.3 99.00 99.00 99.00 999 1017.0 999.0  14.3 999.0 99.0 99.00 
2022 08 01 11 00 309  3.3  4.3 99.00 99.00 99.00 999 1017.0 999.0  14.3 999.0 99.0 99.00 
2022 08 01 11 10 306  3.7  4.6 99.00 99.00 99.00 999 1017.1 999.0  14.3 999.0 99.0 99.00 
2022 08 01 11 20 307  3.7  4.5 99.00 99.00 99.00 999 1017.0 999.0  14.3 999.0 99.0 99.00 
2022 08 01 11 30 302  3.7  4.4 99.00 99.00 99.00 999 1016.9 999.0  14.3 999.0 99.0 99.00 
2022 08 01 11 40 305  3.5  4.5  0.75 16.00  7.39 210 1016.9 999.0  14.2 999.0 99.0 99.00 
2022 08 01 11 50 305  3.7  4.6 99.00 99.00 99.00 999 1016.9 999.0  14.2 999.0 99.0 99.00 
2022 08 01 12 00 307  4.1  4.9 99.00 99.00 99.00 999 1016.8 999.0  14.2 999.0 99.0 99.00 
2022 08 01 12 10 310  3.5  5.0 99.00 99.00 99.00 999 1017.2 999.0  14.3 999.0 99.0 99.00 
2022 08 01 12 20 301  2.1  2.8 99.00 99.00 99.00 999 1017.2 999.0  14.3 999.0 99.0 99.00 
2022 08 01 12 30 307  3.0  4.2 99.00 99.00 99.00 999 1017.0 999.0  14.2 999.0 99.0 99.00 
2022 08 01 12 40 313  3.7  4.3  0.66 16.00  6.86 204 1017.2 999.0  14.2 999.0 99.0 99.00 
2022 08 01 12 50 319  3.3  4.0 99.00 99.00 99.00 999 1017.2 999.0  14.2 999.0 99.0 99.00 
2022 08 01 13 00 321  2.8  3.9 99.00 99.00 99.00 999 1017.3 999.0  14.2 999.0 99.0 99.00 
2022 08 01 13 10 328  2.1  3.0 99.00 99.00 99.00 999 1017.3 999.0  14.2 999.0 99.0 99.00 
2022 08 01 13 20 328  2.5  3.1 99.00 99.00 99.00 999 1017.3 999.0  14.2 999.0 99.0 99.00 
2022 08 01 13 30 315  2.8  3.3 99.00 99.00 99.00 999 1017.3 999.0  14.2 999.0 99.0 99.00 
2022 08 01 13 40 311  2.4  3.2  0.72 14.81  7.69 207 1017.4 999.0  14.2 999.0 99.0 99.00 
