#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2022 01 01 00 00 320 12.2 15.6 99.00 99.00 99.00 999 1013.6 999.0  11.7 999.0 99.0 99.00 
2022 01 01 00 10 324 12.4 15.1 99.00 99.00 99.00 999 1013.7 999.0  11.7 999.0 99.0 99.00 
2022 01 01 00 20 319 12.4 15.2 99.00 99.00 99.00 999 1013.6 999.0  11.7 999.0 99.0 99.00 
2022 01 01 00 30 317 12.2 15.0 99.00 99.00 99.00 999 1013.5 999.0  11.7 999.0 99.0 99.00 
2022 01 01 00 40 317 12.4 15.2  2.68  7.14  5.95 300 1013.6 999.0  11.7 999.0 99.0 99.00 
2022 01 01 00 50 323 12.3 15.4 99.00 99.00 99.00 999 1014.0 999.0  11.7 999.0 99.0 99.00 
2022 01 01 01 00 326 12.1 15.4 99.00 99.00 99.00 999 1013.9 999.0  11.7 999.0 99.0 99.00 
2022 01 01 01 10 324 12.4 14.9 99.00 99.00 99.00 999 1013.9 999.0  11.7 999.0 99.0 99.00 
2022 01 01 01 20 322 12.5 15.3 99.00 99.00 99.00 999 1014.0 999.0  11.7 999.0 99.0 99.00 
2022 01 01 01 30 327 12.5 14.8 99.00 99.00 99.00 999 1014.0 999.0  11.7 999.0 99.0 99.00 
2022 01 01 01 40 322 12.5 15.4  2.50  7.69  5.63 304 1013.9 999.0  11.7 999.0 99.0 99.00 
2022 01 01 01 50 317 12.9 15.4 99.00 99.00 99.00 999 1013.9 999.0  11.7 999.0 99.0 99.00 
2022 01 01 02 00 318 12.7 15.8 99.00 99.00 99.00 999 1014.1 999.0  11.7 999.0 99.0 99.00 
2022 01 01 02 10 325 12.6 15.5 99.00 99.00 99.00 999 1014.2 999.0  11.7 999.0 99.0 99.00 
2022 01 01 02 20 324 12.5 15.7 99.00 99.00 99.00 999 1014.5 999.0  11.8 999.0 99.0 99.00 
2022 01 01 02 30 323 12.2 15.3 99.00 99.00 99.00 999 1014.5 999.0  11.8 999.0 99.0 99.00 
2022 01 01 02 40 326 12.5 15.5  2.62  7.14  5.94 300 1014.7 999.0  11.8 999.0 99.0 99.00 
2022 01 01 02 50 322 12.0 14.6 99.00 99.00 99.00 999 1014.8 999.0  11.8 999.0 99.0 99.00 
2022 01 01 03 00 327 11.3 14.2 99.00 99.00 99.00 999 1015.1 999.0  11.8 999.0 99.0 99.00 
2022 01 01 03 10 325 11.3 13.8 99.00 99.00 99.00 999 1015.2 999.0  11.8 999.0 99.0 99.00 
2022 01 01 03 20 326 10.9 13.2 99.00 99.00 99.00 999 1015.4 999.0  11.8 999.0 99.0 99.00 
2022 01 01 03 30 328 10.9 13.6 99.00 99.00 99.00 999 1015.5 999.0  11.8 999.0 99.0 99.00 
2022 01 01 03 40 334 10.4 13.0  2.40  6.67  5.73 307 1015.5 999.0  11.8 999.0 99.0 99.00 
2022 01 01 03 50 334  9.8 12.3 99.00 99.00 99.00 999 1015.8 999.0  11.8 999.0 99.0 99.00 
2022 01 01 04 00 334 10.1 12.0 99.00 99.00 99.00 999 1015.7 999.0  11.8 999.0 99.0 99.00 
2022 01 01 04 10 334 10.4 13.7 99.00 99.00 99.00 999 1015.7 999.0  11.8 999.0 99.0 99.00 
2022 01 01 04 20 334 10.4 12.7 99.00 99.00 99.00 999 1015.8 999.0  11.8 999.0 99.0 99.00 
