#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2022 07 01 00 00 287  6.8  9.9 99.00 99.00 99.00 999 1018.0 999.0  10.9 999.0 99.0 99.00 
2022 07 01 00 10 285  6.1  7.9 99.00 99.00 99.00 999 1018.2 999.0  10.9 999.0 99.0 99.00 
2022 07 01 00 20 289  5.9  7.6 99.00 99.00 99.00 999 1018.2 999.0  10.9 999.0 99.0 99.00 
2022 07 01 00 30 293  6.5  8.7 99.00 99.00 99.00 999 1018.1 999.0  10.9 999.0 99.0 99.00 
2022 07 01 00 40 296  7.1  9.2  1.67  8.33  5.74 304 1018.0 999.0  10.9 999.0 99.0 99.00 
2022 07 01 00 50 298  7.5  9.5 99.00 99.00 99.00 999 1017.8 999.0  10.9 999.0 99.0 99.00 
2022 07 01 01 00 304  7.8  9.8 99.00 99.00 99.00 999 1017.8 999.0  10.9 999.0 99.0 99.00 
2022 07 01 01 10 300  7.4  9.2 99.00 99.00 99.00 999 1017.8 999.0  10.9 999.0 99.0 99.00 
2022 07 01 01 20 301  7.7  9.8 99.00 99.00 99.00 999 1017.7 999.0  10.9 999.0 99.0 99.00 
2022 07 01 01 30 302  8.0 11.1 99.00 99.00 99.00 999 1017.7 999.0  10.9 999.0 99.0 99.00 
2022 07 01 01 40 303  8.2 10.8  1.70  9.09  5.43 308 1017.7 999.0  10.9 999.0 99.0 99.00 
2022 07 01 01 50 301  7.3  9.4 99.00 99.00 99.00 999 1017.7 999.0  10.9 999.0 99.0 99.00 
2022 07 01 02 00 302  7.7  9.6 99.00 99.00 99.00 999 1017.6 999.0  10.9 999.0 99.0 99.00 
2022 07 01 02 10 298  7.6  9.5 99.00 99.00 99.00 999 1017.6 999.0  10.9 999.0 99.0 99.00 
2022 07 01 02 20 297  7.5 10.3 99.00 99.00 99.00 999 1017.7 999.0  10.9 999.0 99.0 99.00 
2022 07 01 02 30 301  8.5 11.3 99.00 99.00 99.00 999 1017.6 999.0  10.9 999.0 99.0 99.00 
2022 07 01 02 40 299  7.2  9.4  1.93  9.09  5.75 304 1017.7 999.0  10.9 999.0 99.0 99.00 
2022 07 01 02 50 304  7.9 10.5 99.00 99.00 99.00 999 1017.8 999.0  10.9 999.0 99.0 99.00 
2022 07 01 03 00 303  7.0  9.5 99.00 99.00 99.00 999 1017.8 999.0  10.9 999.0 99.0 99.00 
2022 07 01 03 10 301  7.2  9.6 99.00 99.00 99.00 999 1017.8 999.0  10.9 999.0 99.0 99.00 
2022 07 01 03 20 303  7.6 10.6 99.00 99.00 99.00 999 1017.7 999.0  10.9 999.0 99.0 99.00 
2022 07 01 03 30 301  8.5 10.6 99.00 99.00 99.00 999 1017.8 999.0  10.9 999.0 99.0 99.00 
2022 07 01 03 40 304  7.6  9.7  1.84  6.25  5.53 306 1017.8 999.0  10.9 999.0 99.0 99.00 
2022 07 01 03 50 303  7.5 10.7 99.00 99.00 99.00 999 1017.6 999.0  10.9 999.0 99.0 99.00 
2022 07 01 04 00 305  8.3 11.2 99.00 99.00 99.00 999 1017.6 999.0  10.9 999.0 99.0 99.00 
2022 07 01 04 10 305  8.0 11.1 99.00 99.00 99.00 999 1017.5 999.0  10.8 999.0 99.0 99.00 
2022 07 01 04 20 304  7.7  9.8 99.00 99.00 99.00 999 1017.5 999.0  10.8 999.0 99.0 99.00 
2022 07 01 04 30 305  8.2 11.1 99.00 99.00 99.00 999 1017.4 999.0  10.8 999.0 99.0 99.00 
2022 07 01 04 40 305  7.9  9.9  1.93  7.14  5.64 306 1017.4 999.0  10.8 999.0 99.0 99.00 
2022 07 01 04 50 303  8.0 10.9 99.00 99.00 99.00 999 1017.7 999.0  10.8 999.0 99.0 99.00 
2022 07 01 05 00 302  7.7  9.6 99.00 99.00 99.00 999 1017.8 999.0  10.8 999.0 99.0 99.00 
2022 07 01 05 10 301  7.9 10.7 99.00 99.00 99.00 999 1017.8 999.0  10.8 999.0 99.0 99.00 
2022 07 01 05 20 300  8.2 11.0 99.00 99.00 99.00 999 1017.8 999.0  10.8 999.0 99.0 99.00 
2022 07 01 05 30 300  7.6  9.7 99.00 99.00 99.00 999 1018.0 999.0  10.7 999.0 99.0 99.00 
2022 07 01 05 40 299  6.9  9.1  2.01  8.33  5.57 302 1018.0 999.0  10.7 999.0 99.0 99.00 
2022 07 01 05 50 301  7.6 10.4 99.00 99.00 99.00 999 1018.0 999.0  10.7 999.0 99.0 99.00 
2022 07 01 06 00 298  7.7 11.1 99.00 99.00 99.00 999 1017.7 999.0  10.7 999.0 99.0 99.00 
2022 07 01 06 10 301  7.9 10.0 99.00 99.00 99.00 999 1017.8 999.0  10.7 999.0 99.0 99.00 
2022 07 01 06 20 302  7.5 10.3 99.00 99.00 99.00 999 1017.7 999.0  10.7 999.0 99.0 99.00 
2022 07 01 06 30 301  7.5 10.2 99.00 99.00 99.00 999 1017.8 999.0  10.6 999.0 99.0 99.00 
2022 07 01 06 40 301  6.8  9.4  1.98  7.69  5.60 298 1017.7 999.0  10.6 999.0 99.0 99.00 
2022 07 01 06 50 301  7.5  9.7 99.00 99.00 99.00 999 1017.6 999.0  10.6 999.0 99.0 99.00 
2022 07 01 07 00 300  7.3 10.1 99.00 99.00 99.00 999 1017.6 999.0  10.6 999.0 99.0 99.00 
2022 07 01 07 10 301  7.7  9.9 99.00 99.00 99.00 999 1017.5 999.0  10.6 999.0 99.0 99.00 
2022 07 01 07 20 300  7.9 10.0 99.00 99.00 99.00 999 1017.5 999.0  10.6 999.0 99.0 99.00 
2022 07 01 07 30 301  7.4  9.8 99.00 99.00 99.00 999 1017.4 999.0  10.6 999.0 99.0 99.00 
2022 07 01 07 40 301  7.8 10.0  2.00  7.14  5.61 306 1017.3 999.0  10.5 999.0 99.0 99.00 
2022 07 01 07 50 299  7.5 10.0 99.00 99.00 99.00 999 1017.4 999.0  10.5 999.0 99.0 99.00 
2022 07 01 08 00 299  7.4 10.1 99.00 99.00 99.00 999 1017.3 999.0  10.4 999.0 99.0 99.00 
2022 07 01 08 10 300  7.5 10.2 99.00 99.00 99.00 999 1017.3 999.0  10.4 999.0 99.0 99.00 
2022 07 01 08 20 301  7.7 10.5 99.00 99.00 99.00 999 1017.4 999.0  10.3 999.0 99.0 99.00 
2022 07 01 08 30 299  7.4  9.5 99.00 99.00 99.00 999 1017.3 999.0  10.3 999.0 99.0 99.00 
